鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號,
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year,month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
北區,房地(土地+建物),臺中市北區忠太東路85巷1~30號,29.94,住,,,1061001,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760718,102.97,3,2,2,有,有,4070000,39526,,0,0,,RPXNMLTKMHNFFBB88CA,
北區,房地(土地+建物)+車位,臺中市北區東光二街1~30號,102,住,,,1070301,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,780512,240.6,5,2,3,有,有,9300000,38653,坡道平面,0,0,,RPQOMLKLMHNFFBB47CA,
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段181~210號,32.85,住,,,1070301,土地2建物1車位1,一層，二層，騎樓,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,890616,262.1,2,1,2,有,有,25000000,95383,坡道平面,22.5,0,,RPTOMLKLMHNFFBB77CA,
北屯區,房地(土地+建物)+車位,臺中市北屯區后庄北路61~90號,31.33,住,,,1070201,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060308,187.92,3,2,2,有,有,16250000,92673,坡道平面,27.14,1350000,,RPXOMLKLMHNFFBB18CA,
北屯區,土地,陳平段1921~1950地號,469,住,,,1061201,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,61710000,131578,,0,0,,RPSNMLNLMHNFFBB87CA,
北屯區,土地,陳平段1921~1950地號,217,住,,,1061201,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,23950000,110369,,0,0,"本案交易日期為106年12月19日,公契與私契權利人不一",SPSNMLNLMHNFFBB97CA,
北屯區,土地,太順段1~30地號,278.31,住,,,1061201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,21047000,75624,,0,0,,RPWPMLNLMHNFFBB48CA,
北區,房地(土地+建物),臺中市北區德化街391~420號,29.4,住,,,1070201,土地1建物1車位0,五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701226,108.89,7,2,7,有,無,6150000,56479,,0,0,本案為套房隔局含六樓未保存建物,RPWOMLOLMHNFFBB48CA,
北屯區,房地(土地+建物)+車位,臺中市北屯區軍和街421~450號,32,住,,,1070201,土地2建物1車位1,五層，六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810409,211.92,4,2,3,有,有,5960000,28124,坡道平面,0,0,,RPSPMLLJNHNFFBB77CA,
北屯區,房地(土地+建物),臺中市北屯區長生巷1~30號,150.7,住,,,1060701,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060811,329.62,5,2,3,有,無,23800000,72204,,0,0,,RPXOMLSJNHNFFBB88CA,
西屯區,房地(土地+建物),臺中市西屯區寶慶街50巷1~30號,6.7,住,,,1070301,土地2建物1車位0,三層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,811120,61.36,1,1,1,有,有,3650000,59485,,0,0,,RPOQMLLKMHNFFCB57CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段729巷31~60號,27.49,住,,,1070301,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850906,119.43,3,2,2,有,有,6700000,56100,坡道機械,0,0,,RPPOMLMKMHNFFCB57CA,
南屯區,房地(土地+建物),臺中市南屯區新富路211~240號,193.05,住,,,1070301,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040323,279.52,5,3,5,有,無,37800000,135232,,0,0,,RPTOMLMKMHNFFCB97CA,
西屯區,房地(土地+建物),臺中市西屯區福瑞街66巷1~30號,3.92,住,,,1070301,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,830318,21.03,1,0,1,有,有,860000,40894,,0,0,,RPWOMLMKMHNFFCB28CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路241~270號,36.05,住,,,1070301,土地1建物1車位2,十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120,406.15,0,0,0,無,無,50000000,123107,坡道平面,61.56,0,,RPSNMLQKMHNFFCB18CA,
西屯區,房地(土地+建物),臺中市西屯區上石路151~180號,8.2,住,,,1070301,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850509,100.84,3,2,2,有,無,5200000,51567,,0,0,,RPTNMLQKMHNFFCB28CA,
西屯區,房地(土地+建物),臺中市西屯區大弘三街31~60號,3.51,住,,,1070301,土地1建物1車位0,八層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,831121,27.52,1,1,1,有,有,1580000,57413,,0,0,,RPTQMLQKMHNFFCB58CA,
